1. etiquette;1. этикет
illicit intercourse;внебрачная связь
unchastity;блуд, распущенность
cuckoldry;измена мужу
promiscuity;неразборчивость (в половых связях)
31. subterfuge;31. уловка
artifice;проделка, хитрость
trick;хитрость, обман
dodge;уловка
deception;обман
shift;уловка, хитрость
ruse;уловка, хитрость
wile;хитрость, обман
sham;подделка, обман
32. atonement;32. искупление
repentance;раскаяние
penance;раскаяние
amends;компенсация
redress;возмещение, заглаживание
compensation;компенсация
redemption;искупление, выкуп
expiation;искупление
33. caprice;33. каприз
whim;причуда, каприз
fancy;каприз
quirk;причуда, выверт
eccentricity;эксцентричность
oddity;странность, причуда
peculiarity;странная особенность
prank;проказа
vagary;выходка, причуда
fad;прихоть, причуда
fling;веселые выходки
antic;шалости
caper;проказа, шалость
spree;шалости, кутеж
