1. financial management;1. финансовое управление
bank deposit;банковские вклады
37. ruin;37. разорение, крах
failure;провал, неудача
breakdown;крах
downfall;упадок
disintegration;развал
bankruptcy;банкротство, несостоятельность
insolvency;банкротство, несостоятельность
bust;банкротство, разорение
devastation;разорение, растрата
38. warranty;38. гарантия (письменная)
guaranty;гарантия
guarantee;гарантия
assurance;заверение, обеспечение
bail;поручительство
pledge;залог
testimony;заявление, свидетельство
39. sponsor;39. спонсор
financier;спонсор
patron;покровитель
supporter;спонсор
promoter;покровитель, рука
