American; |əˈmerɪkən|;американский, американец, американка
abroad; |əˈbrɔːd|;за границей, за границу, повсюду, заграница
absence; |ˈæbsəns|;отсутствие, недостаток, неявка, отлучка
absent; |ˈæbsənt|;отсутствующий, рассеянный, отсутствовать, отлучаться, в отсутствие, без
absolute; |ˈæbsəluːt|;абсолютный, полный, безусловный, абсолют, абсолютная величина
absolutely;  |ˈæbsəluːtli|; абсолютно, совершенно, безусловно, конечно, самостоятельно, вконец, независимо
absorb; |əbˈzɔːrb|;поглощать, впитывать, абсорбировать, амортизировать, всасывать, вбирать
abuse; |əˈbjuːs|;злоупотребление, оскорбление, брань, злоупотреблять, браниться, оскорблять
academic; |ˌækəˈdemɪk|;академический, учебный, академичный, учёный, преподаватель, профессор
accent; |ˈæksent|;акцент, ударение, произношение, речь, язык, акцентировать, подчеркивать
accept; |əkˈsept|;принимать, признавать, соглашаться, брать, допускать, акцептовать, утверждать
acceptable; |əkˈseptəbl|;приемлемый, допустимый, подходящий, угодный, желанный, приятный
access; |ˈækses|;доступ, проход, подход, выборка, припадок, обращаться, иметь доступ
accident; |ˈæksɪdənt|;авария, случайность, несчастный случай, катастрофа, случай
accidental; |ˌæksɪˈdentl|;случайный, неожиданный, второстепенный, случайность, случайный элемент
accidentally; |ˌæksɪˈdentəli|;случайно, нечаянно, непредумышленно
accommodation; |əˌkɑːməˈdeɪʃn|;жильё, помещение, приспособление, аккомодация, компромисс, приют, примирение
accompany; |əˈkʌmpəni|;сопровождать, сопутствовать, аккомпанировать
according to;;согласно
account; |əˈkaʊnt|;счет, расчет, отчет, приходиться, отчитываться, бухгалтерский
accurate; |ˈækjərət|;точный, тщательный, меткий, калиброванный, правильный
accurately; |ˈækjərətli|;точно, правильно, тщательно, безошибочно
accuse; |əˈkjuːz|;обвинять, винить, предъявлять обвинение
achieve; |əˈtʃiːv|;достигать, добиваться, выполнять, успешно выполнять, доводить до конца
achievement; |əˈtʃiːvmənt|;достижение, успех, выполнение, подвиг
acid; |ˈæsɪd|;кислота, ЛСД, язвительность, ехидство, кислотный, кислый, едкий, язвительный
acknowledge; |əkˈnɑːlɪdʒ|;признавать, подтверждать, сознавать, допускать, награждать, быть признательным
acquire; |əˈkwaɪər|;приобретать, получать, овладевать, обзаводиться, наживать, достигать, заводить
across; |əˈkrɔːs|;через, поперек, сквозь, в ширину, через, поперек, сквозь
act; |ˈækt|;закон, акт, действие, поступок, дело, деяние, действовать, поступать, работать, играть
action; |ˈækʃn|;действие, деятельность, акция, боевой
active; |ˈæktɪv|;активный, действующий, действительный, действительный залог
activist;  |ˈæktɪvɪst|; активист, сторонник активных мер
activity;  |ækˈtɪvəti|; активность, деятельность, радиоактивность, энергия, транзакция
actor; |ˈæktər|;актер, действующее лицо, деятель, лицедей
actress; |ˈæktrəs|;актриса, артистка
actual; |ˈæktʃuəl|;фактический, действительный, актуальный, настоящий, текущий, подлинный
actually; |ˈæktʃuəli|;фактически, на самом деле, действительно, даже, в самом деле, в настоящее время
ad; |ˌeɪ ˈdiː|;объявление, реклама, анонс, объявление, реклама
adapt; |əˈdæpt|;адаптировать, приспосабливать, приспосабливаться, применять, применяться
add; |æd|;добавлять, сложить, прибавлять, придать, складывать, увеличивать, присоединять
addition; |əˈdɪʃn|;добавление, дополнение, сложение, прибавление, добавка, увеличение, примесь
additional; |əˈdɪʃənl|;дополнительный, добавочный
address; |əˈdres|;адрес, обращение, адресовать, обращаться, адресный
adequate; |ˈædɪkwət|;адекватный, достаточный, быть достаточным
adjective; |ˈædʒɪktɪv|;прилагательное, имя прилагательное, несамостоятельный, зависимый
adjust; |əˈdʒʌst|;регулировать, устанавливать, приспосабливать, выверять, приводить в порядок
administration; |ədˌmɪnɪˈstreɪʃn|;администрация, управление, администрирование, правительство, назначение
administrative; |ədˈmɪnɪstreɪtɪv|;административный, управленческий, исполнительный, тыловой
admiration; |ˌædməˈreɪʃn|;восхищение, восторг, преклонение, предмет восхищения
admire;  |ədˈmaɪər|; восхищаться, любоваться, восторгаться, выражать восторг
admission; |ədˈmɪʃn|;вход, признание, впуск, допущение, принятие, вступительный, пропускной, впускной
admit; |ədˈmɪt|;допускать, признавать, принимать, впустить, впускать, соглашаться, позволять
adopt; |əˈdɑːpt|;принимать, перенимать, усыновлять, усвоить, заимствовать, усваивать, удочерять
adult; |ˈædʌlt|;взрослый, для взрослых, взрослый человек, зрелый человек
advance; |ədˈvæns|;предварительный, продвижение, наступление, продвигать, продвигаться
advanced; |ədˈvænst|;передовой, продвинутый, выдвинутый, прогрессивный, повышенного типа
advantage; |ədˈvæntɪdʒ|;преимущество, польза, плюс, перевес, способствовать, благоприятствовать
adventure; |ədˈventʃər|;приключение, авантюра, риск, приключенческий, рисковать, отваживаться
adverb; |ˈædvɜːrb|;наречие
advert; |ˈædvɜːrt|;объявление, касаться, ссылаться, обращаться
advertise; |ˈædvərtaɪz|;рекламировать, афишировать, объявлять, извещать, помещать объявление
advertisement;  |ˌædvərˈtaɪzmənt|; реклама, объявление, анонс, извещение, известие
advertising; |ˈædvərtaɪzɪŋ|;реклама, рекламирование, рекламное дело, рекламный
advice; |ədˈvaɪs|;совет, консультация, мнение, авизо, суждение, сообщение
advise; |ədˈvaɪz|;консультировать, советовать, желательный
adviser; |ədˈvaɪzər|;советник, консультант, советчик
affair; |əˈfer|;дело, роман, связь, любовная история, занятия, дуэль
affect; |əˈfekt|;влиять, затрагивать, затронуть, аффект
affection; |əˈfekʃn|;привязанность, любовь, влияние, воздействие, влечение, склонность, болезнь
afford; |əˈfɔːrd|;предоставлять, давать, доставлять, приносить, иметь возможность
afraid; |əˈfreɪd|;боящийся, испуганный, напуганный
after; |ˈæftər|;после, спустя, вслед, после, через, за, по, после того как, последующий, задний
afternoon; |ˌæftərˈnuːn|;после полудня, послеобеденное время
afterwards; |ˈæftərwərdz|;впоследствии, потом, позже
again; |əˈɡen|;снова, вновь, опять, еще раз, же, с другой стороны, кроме того, к тому же
against; |əˈɡenst|;против, вопреки, от, с, на, к, по, о, у, об, про, рядом
age; |eɪdʒ|;возраст, век, эпоха, период, старость, стареть, постареть, стариться, старить
aged; |eɪdʒd|;выдержанный, старый, пожилой, старики
agency; |ˈeɪdʒənsi|;агентство, представительство, деятельность, посредничество, сила, фактор, действие
agenda; |əˈdʒendə|;повестка дня
agent; |ˈeɪdʒənt|;агент, средство, вещество, представитель, действующий
aggressive; |əˈɡresɪv|;агрессивный, энергичный, настойчивый, вызывающий, нападающий
ago; |əˈɡoʊ|;тому назад, тому назад
agree; |əˈɡriː|;соглашаться, согласоваться, договариваться, согласовываться, соответствовать
agreement; |əˈɡriːmənt|;соглашение, договор, согласие, согласование, уговор
agriculture; |ˈæɡrɪkʌltʃər|;сельское хозяйство, земледелие, агрокультура, агрономия
ahead; |əˈhed|;вперед, впереди, напролом, предстоящий
aid; |eɪd|;помощь, пособия, поддержка, содействие, помогать, способствовать
aim; |eɪm|;цель, стремление, прицел, прицеливание, стремиться, целиться, целить
air; |er|;воздух, вид, атмосфера, ария, воздушный, пневматический, проветривать
aircraft; |ˈerkræft|;самолет, самолеты, авиация, авиационный
airline; |ˈerlaɪn|;авиакомпания, авиалиния, прямая линия
airport; |ˈerpɔːrt|;аэропорт, иллюминатор
alarm; |əˈlɑːrm|;тревога, сигнал тревоги, сигнальный, встревожить
alarmed; |əˈlɑːrmd|;встревоженный
alarming; |əˈlɑːrmɪŋ|;тревожный
album; |ˈælbəm|;альбом, долгоиграющая пластинка, книга автографов, альбом-пластинка
alcohol; |ˈælkəhɔːl|;алкоголь, спирт, спиртные напитки
alcoholic; |ˌælkəˈhɔːlɪk|;алкогольный, спиртной, спиртовой, алкоголик
alive; |əˈlaɪv|;живой, в живых, действующий, бодрый, заживо, под напряжением
all; |ɔːl|;все, весь, целый, все, целое, все, весь, вся, совершенно, всецело
all right;;хорошо
allied; |ˈælaɪd|;союзный, союзнический, родственный, близкий
allow; |əˈlaʊ|;позволять, допускать, разрешать, предоставлять, давать, учитывать
allowance;  |əˈlaʊəns|; допуск, разрешение, довольствие, выдавать паек, выдавать содержание
ally; |ˈælaɪ|;союзник, помощник, мраморный шарик, соединять, вступать в союз
almost; |ˈɔːlmoʊst|;почти, едва не, фактический
alone; |əˈloʊn|;один, одинокий, только, в одиночестве, сам
along; |əˈlɔːŋ|;вдоль, вместе, вперед, с собой, по длине, вдоль, по
alongside;  |əˌlɔːŋˈsaɪd|; рядом, бок о бок, у борта, борт о борт, рядом, около, у борта
aloud; |əˈlaʊd|;вслух, громко, ощутимо, громким голосом, заметно, сильно
alphabet; |ˈælfəbet|;алфавит, азбука
alphabetical; |ˌælfəˈbetɪkl|;алфавитный, азбучный
already;  |ɔːlˈredi|; уже, же
also; |ˈɔːlsoʊ|;также, тоже, к тому же
alter; |ˈɔːltər|;изменять, изменяться, менять, меняться, переделывать, вносить изменения, перешить
alternative; |ɔːlˈtɜːrnətɪv|;альтернативный, переменный, альтернатива, выбор
alternatively; |ɔːlˈtɜːrnətɪvli|;поочередно, чередуясь
although; |ɔːlˈðoʊ|;хотя, если бы даже, несмотря на то, что, несмотря на, если бы даже
altogether; |ˌɔːltəˈɡeðər|;целое, в целом, совсем, всего, совершенно, вполне
always; |ˈɔːlweɪz|;всегда, постоянно, вечно, вообще
amaze; |əˈmeɪz|;удивлять, поражать, изумлять, изумление, удивление
amazed; |əˈmeɪzd|;пораженный, изумленный
amazing; |əˈmeɪzɪŋ|;удивительный, изумительный, поразительный
ambition; |æmˈbɪʃn|;амбиция, честолюбие, стремление, цель, домогаться чего-л.
ambulance; |ˈæmbjələns|;скорая помощь, скорая, машина скорой помощи, карета скорой помощи, неотложка
among; |əˈmʌŋ|;среди, между, у, из, в числе, из числа, посреди
amount; |əˈmaʊnt|;сумма, количество, общая сумма, итог, составлять, достигать, составлять сумму
amuse; |əˈmjuːz|;развлекать, забавлять, тешить, смешить, озадачивать, приятно проводить время
amused; |əˈmjuːzd|;довольный
amusing; |əˈmjuːzɪŋ|;забавный, смешной, занятный, занимательный
an; |ən|;если, вышеуказанный, вышеупомянутый
analyse; |ˈænəlaɪz|;анализировать, разбирать, продумывать, разлагать
analysis; |əˈnæləsɪs|;анализ, исследование, разбор, психоанализ, разложение, проба
analyst; |ˈænəlɪst|;аналитик, обозреватель, психоаналитик, комментатор, психиатр
analyze; |ˈænəlˌɑɪz|;анализировать, разбирать, продумывать, разлагать
ancient; |ˈeɪnʃənt|;древний, старинный, старый, античный, старец, старейшина
and; |ənd|;и, а, но, иначе, конъюнкция
anger; |ˈæŋɡər|;гнев, злость, ярость, раздражение, злить, раздражать, сердить, вызывать гнев
angle; |ˈæŋɡl|;угол, уголок, угольник, угловой, удить, удить рыбу, искажать
angrily; |ˈæŋɡrəli|;сердито, гневно
angry; |ˈæŋɡri|;сердитый, разгневанный, гневный, раздраженный, грозный, воспаленный, зловещий
animal; |ˈænɪml|;животный, звериный, анимальный, скотский, животное, зверь, скотина
ankle; |ˈæŋkl|;щиколотка
anniversary; |ˌænɪˈvɜːrsəri|;годовщина, юбилей, юбилейный, ежегодный, годовой
announce; |əˈnaʊns|;объявлять, сообщать, анонсировать, огласить, заявлять, возвещать, извещать
announcement; |əˈnaʊnsmənt|;объявление, анонс, сообщение, уведомление, извещение
annoy; |əˈnɔɪ|;раздражать, досаждать, надоедать, докучать, наскучивать
annoyed; |əˈnɔɪd|;раздраженный, раздосадованный
annoying; |əˈnɔɪɪŋ|;раздражающий, досадный, надоедливый, раздражение
annual; |ˈænjuəl|;ежегодный, годовой, ежегодник, кассировать
annually; |ˈænjuəli|;ежегодно
another; |əˈnʌðər|;другой, иной, подобный, еще один, отличный от, похожий
answer; |ˈænsər|;ответ, решение, возражение, реакция, отвечать, реагировать, удовлетворять
anticipate; |ænˈtɪsɪpeɪt|;предвидеть, ожидать, предвосхищать, предупреждать, опережать, предчувствовать
anxiety; |æŋˈzaɪəti|;тревога, беспокойство, тревожность, страх, забота, боязнь, опасение
anxious; |ˈæŋkʃəs|;тревожный, беспокоящийся, озабоченный, беспокойный, встревоженный, стремящийся
any; |ˈeni|;любой, никакой, какой-либо, никакой, какой-нибудь, сколько-нибудь, вообще
anybody; |ˈenibɑːdi|;никто, кто-нибудь, любой, кто-либо, всякий, важное лицо, значительное лицо
anyhow; |ˈenihaʊ|;так или иначе, во всяком случае, как-нибудь, никак, кое-как
anymore; |ˌeniˈmɔːr|;больше не, уже не
anyone; |ˈeniwʌn|;любой, кто-нибудь, кто-либо, никто, всякий
anything; |ˈeniθɪŋ|;что-нибудь, все, что-либо, что угодно, сколько-нибудь, в какой-либо мере
anyway; |ˈeniweɪ|;так или иначе, в любом случае, во всяком случае, никак, как-нибудь, кое-как
anywhere; |ˈeniwer|;где угодно, везде, где-нибудь, никуда, где-либо, куда угодно, куда-нибудь, куда-либо
apart; |əˈpɑːrt|;отдельно, обособленно, на части, врозь, в стороне, в сторону, порознь, на куски, особо
apartment; |əˈpɑːrtmənt|;квартира, апартамент, комната, меблированные комнаты
apologize; |əˈpɑːlədʒaɪz|;извиняться, просить прощения, приносить официальные извинения
apology; |əˈpɑːlədʒi|;извинение, апология, оправдание, просьба о прощении, защита
apparent;  |əˈpærənt|; очевидный, видимый, кажущийся, явный, несомненный, бесспорный
apparently; |əˈpærəntli|;видимо, очевидно, явно, вероятно, по-видимому
appeal; |əˈpiːl|;апелляция, обращение, обжалование, призыв, обращаться, апеллировать, взывать
appear; |əˈpɪr|;появляться, казаться, предстать, проявляться, выступать, показываться, являться
appearance; |əˈpɪrəns|;появление, внешний вид, вид, внешность, видимость, выступление, явление, наружность
apple; |ˈæpl|;яблоко, яблоня, чепуха, лесть, яблочный
application; |ˌæplɪˈkeɪʃn|;применение, приложение, заявка, заявление, прошение, применимость, просьба
apply; |əˈplaɪ|;применять, относиться, использовать, обращаться, прикладывать, касаться, прилагать
appoint; |əˈpɔɪnt|;назначать, определять, утверждать, предписывать, договариваться, оборудовать
appointment; |əˈpɔɪntmənt|;назначение, встреча, прием, должность, свидание, пост, определение, место
appreciate; |əˈpriːʃieɪt|;ценить, оценивать, понимать, принимать во внимание, ощущать, повышать в ценности
approach; |əˈproʊtʃ|;подход, приближение, доступ, подходить, приближаться, обращаться
appropriate; |əˈproʊpriət|;соответствующий, подходящий, присущий, ассигновать, присваивать, предназначать
approval; |əˈpruːvl|;утверждение, одобрение, согласие, рассмотрение
approve; |əˈpruːv|;утверждать, одобрять, санкционировать, апробировать, показывать, проявлять
approving; |əˈpruːvɪŋ|;одобрительный
approximate; |əˈprɑːksɪmət|;приблизительный, приближенный, приближаться, приближать
approximately; |əˈprɑːksɪmətli|;приблизительно, приближенно, почти, ориентировочно
architect; |ˈɑːrkɪtekt|;архитектор, зодчий, создатель, творец
architecture; |ˈɑːrkɪtektʃər|;архитектура, зодчество, структура, строение, архитектурный стиль
area; |ˈeriə|;площадь, область, район, зона, сфера, участок, пространство, поверхность, ареал, край
argue; |ˈɑːrɡjuː|;спорить, доказывать, аргументировать, обсуждать, убеждать, разубеждать
argument; |ˈɑːrɡjumənt|;аргумент, довод, спор, параметр, аргументация, доказательство, дискуссия
arise; |əˈraɪz|;возникать, появляться, происходить, являться, вставать, проистекать, подниматься
arm; |ɑːrm|;рука, рычаг, рукав, рукоятка, ветвь, вооружиться, вооружать, вооружаться
armed; |ɑːrmd|;вооруженный, укрепленный
arms; |ɑːrmz|;оружие, герб, доспехи, военные действия, война, род войск, военная профессия
army; |ˈɑːrmi|;армия, войско, масса, множество, армейский, войсковой
around; |əˈraʊnd|;вокруг, около, вблизи, кругом, поблизости, вокруг, около, по, приблизительно, за
arrange; |əˈreɪndʒ|;договориться, устраивать, аранжировать, располагать, договариваться, выстраивать
arrangement; |əˈreɪndʒmənt|;расположение, договоренность, устройство, соглашение, механизм, аранжировка
arrest; |əˈrest|;арест, задержание, наложение ареста, арестовать, арестовывать, задерживать
arrival; |əˈraɪvl|;прибытие, приезд, приход, достижение, вновь прибывший, новорожденный
arrive; |əˈraɪv|;прибывать, приехать, приезжать, достигать, прилетать, наступать, доезжать, родиться
arrow; |ˈæroʊ|;стрелка, стрела, стрелка-указатель, пускать стрелы, пронзать
art; |ɑːrt|;искусство, мастерство, художественный, статья, искусственный
article; |ˈɑːrtɪkl|;статья, изделие, вещь, предмет, пункт, предъявлять пункты обвинения
artificial; |ˌɑːrtɪˈfɪʃl|;искусственный, притворный, искусственное удобрение
artificially; |ˌɑːrtɪˈfɪʃəli|;искусственно, притворно
artist;  |ˈɑːrtɪst|; художник, артист, мастер своего дела, эстрадный артист
artistic; |ɑːrˈtɪstɪk|;художественный, артистический
as; |ˌeɪ ˈes|;как, согласно, как, так как, когда, какой, что, который, в качестве, в виде
ashamed; |əˈʃeɪmd|;совестно, пристыженный
aside; |əˈsaɪd|;в стороне, в сторону, отдельно, прочь, в резерве
ask; |æsk|;просить, проситься, спрашивать, запрашивать, требовать, испрашивать, приглашать
asleep; |əˈsliːp|;спящий, тупой, вялый, затекший, заснувший навеки
aspect; |ˈæspekt|;аспект, сторона, вид, внешний вид, взгляд, видовое
assess; |əˈses|;оценивать, облагаться, облагать налогом, штрафовать, определять сумму налога
assessment; |əˈsesmənt|;оценка, суждение, обложение, обложение налогом, сумма обложения, размер налога
assignment; |əˈsaɪnmənt|;назначение, задание, присвоение, присваивание, распределение, выделение
assist; |əˈsɪst|;помощь, вспомогательный механизм, помогать, содействовать, ассистировать
assistance; |əˈsɪstəns|;помощь, содействие, вспомоществование
assistant; |əˈsɪstənt|;помощник, ассистент, лаборант, помогающий
associate; |əˈsoʊʃieɪt|;ассоциировать, связывать, связанный, присоединенный, партнер, компаньон, коллега
association; |əˌsoʊʃiˈeɪʃn|;ассоциация, объединение, связь, общество, общение, союз, соединение, близость, дружба
assume; |əˈsuːm|;предполагать, принимать, брать на себя, допускать, принимать на себя
assumption; |əˈsʌmpʃn|;предположение, допущение, вступление, присвоение, успение, принятие на себя
assure; |əˈʃʊr|;уверять, обеспечивать, гарантировать, заверять, убеждать, обнадеживать, страховать
astronomy; |əˈstrɑːnəmi|;астрономия
at; |ət|;в, на, при, у, за, около, собака, атомный, герметический
atmosphere; |ˈætməsfɪr|;атмосфера, обстановка, воздух, окружающая среда, газообразная оболочка
atom; |ˈætəm|;атом, мельчайшая частица
attach; |əˈtætʃ|;придавать, прикреплять, присоединять, привязывать, прикладывать, связывать
attached; |əˈtætʃt|;прикрепленный, приложенный, привязанный, прикомандированный, преданный
attack; |əˈtæk|;атака, нападение, атаковать, нападать, нападающий, штурмовой
attempt; |əˈtempt|;попытка, покушение, опыт, проба, пытаться, пробовать, покушаться
attempted; |əˈtemptəd|;пытаться, пробовать, покушаться, делать попытку
attend; |əˈtend|;посещать, присутствовать, ходить, следить, заниматься, заботиться, обслуживать
attention; |əˈtenʃn|;внимание, внимательность, уход, забота, заботливость, ухаживание
attitude; |ˈætɪtuːd|;отношение, позиция, мироощущение, поза, осанка, положение самолета в воздухе
attorney; |əˈtɜːrni|;адвокат, прокурор, поверенный, юрист, поверенный
attract; |əˈtrækt|;привлекать, притягивать, влечь, манить, прельстить, пленять, прельщать, приваживать
attraction; |əˈtrækʃn|;привлечение, притяжение, аттракцион, привлекательность, тяготение
attractive; |əˈtræktɪv|;привлекательный, притягательный, заманчивый, привлекающий, располагающий
audience; |ˈɔːdiəns|;аудитория, зрители, публика, слушатели, аудиенция, телезрители, радиослушатели
aunt; |ænt|;тетя, тетка
author; |ˈɔːθər|;автор, писатель, создатель, творец, сочинитель, виновник, инициатор
authority;  |əˈθɔːrəti|; власть, власти, полномочие, авторитет, основание, влияние, начальство
automatic; |ˌɔːtəˈmætɪk|;автоматический, автоматизированный, автомат, автоматический механизм
automatically;  |ˌɔːtəˈmætɪkli|; автоматически, машинально
autumn; |ˈɔːtəm|;осенний, осень, наступление старости
available; |əˈveɪləbl|;доступный, имеющийся, налицо, имеющийся в наличии, наличный
average; |ˈævərɪdʒ|;средний, обычный, среднее число, составлять
avoid; |əˈvɔɪd|;избегать, избежать, уклоняться, избежание
awake; |əˈweɪk|;просыпаться, проснуться, пробудиться, бодрствующий, бдительный, настороженный
award; |əˈwɔːrd|;премия, решение, присуждение, стипендия, присуждать, награждать
aware; |əˈwer|;знающий, осведомленный, сознающий
awareness; |əˈwernəs|;осведомлённость, осознание
away; |əˈweɪ|;далеко, прочь, вон, долой, в отсутствие, удаленный, отстоящий
awful;  |ˈɔːfl|; ужасный, внушающий страх, очень
awkward; |ˈɔːkwərd|;неловкий, неуклюжий, неудобный, угловатый, жопа
baby; |ˈbeɪbi|;ребёнок, малыш, младенец, детский, младенческий, баловать
back; |bæk|;назад, обратно, обратный, задний, спина, защитник, отступать
background; |ˈbækɡraʊnd|;фон, задний план, предпосылка, происхождение, образование, подоплека, подготовка
backward; |ˈbækwərd|;назад, обратно, обратный, отсталый, прошлый, прошлое
backwards; |ˈbækwərdz|;назад, обратно, в обратном направлении, задом наперед, наоборот, задом
bacon; |ˈbeɪkən|;бекон, чистый выигрыш, копченая свиная грудинка, чистая прибыль
bacteria; |bækˈtɪəriə|;бактерия
bad; |bæd|;плохой, дурной, нехороший, дурно, нехорошо, неудача, несчастье, убыток
badly; |ˈbædli|;плохо, сильно, очень, дурно, нехорошо, больной
bag; |bæɡ|;мешок, сумка, чемодан, карман, мешочный, собирать, оттопыриваться
baggage; |ˈbæɡɪdʒ|;багаж, обоз, озорница, плутовка, девчонка, багажный
bake; |beɪk|;испечь, выпекать, печь, печься, запекать, выпечка, выпекание
balance; |ˈbæləns|;баланс, равновесие, остаток, сбалансировать, балансовый
ball; |bɔːl|;мяч, шар, бал, шарик, удар, шаровой, свивать, свиваться
ban; |bæn|;запрет, запрещение, анафема, запрещать, налагать запрет, проклинать
band; |bænd|;полоса, диапазон, оркестр, ленточный, соединять, связывать
bandage; |ˈbændɪdʒ|;повязка, бинт, бандаж, перевязывать, бинтовать, забинтовать
bang; |bæŋ|;взрыв, удар, челка, удариться, бить, грохнуть, прямо, как раз, вдруг
bank; |bæŋk|;банк, банка, берег, крен, вал, банковский, банковый, накреняться, запруживать
bar; |bɑːr|;бар, полоса, стержень, запрещать, запирать, брусковый, исключая, не считая
barely; |ˈberli|;едва, только, лишь, еле-еле, просто, прямо, открыто
bargain; |ˈbɑːrɡən|;сделка, выгодная покупка, торг, торговаться, заключать сделку
barrier; |ˈbæriər|;барьер, препятствие, шлагбаум, преграда, ограждать, заграждать
base; |beɪs|;база, основание, основа, основывать, базировать, базовый, основной, базисный
baseball; |ˈbeɪsbɔːl|;бейсбол
basic; |ˈbeɪsɪk|;основной, основный, базовый, базисный, бейсик
basically; |ˈbeɪsɪkli|;в основном, по существу, в своей основе, в основе
basis; |ˈbeɪsɪs|;основа, основание, база, базис
basket; |ˈbæskɪt|;корзина, корзинка, наружные места, бросать в корзину
basketball; |ˈbæskɪtbɔːl|;баскетбол, баскетбольный
bat; |bæt|;летучая мышь, бита, ракетка, гулянка, бить палкой, бить битой, бить дубинкой
bath; |bæθ|;ванна, баня, купание, купальня, купать, мыть
bathroom; |ˈbæθruːm|;ванная комната, ванная, туалет
battery; |ˈbætri|;батарея, аккумулятор, батарейка, побои, батарейный
battle; |ˈbætl|;битва, бой, сражение, борьба, сражаться, бороться, боевой, батальный
bay; |beɪ|;бухта, залив, отсек, пролет, гнедой, преследовать, лаять
be; |bi|;быть, находиться, должен, тратта
beach; |biːtʃ|;пляж, взморье, берег моря, отмель, вытаскивать на берег, сажать на мель
beak; |biːk|;клюв, слезник, судья, учитель, директор, что-либо, напоминающее клюв
bean; |biːn|;боб, фасоль, башка, голова, фасолевый, дать по башке
bear; |ber|;медведь, медведка, козел, нести, иметь, носить, переносить, терпеть
beard; |bɪrd|;борода, ость, растительность на лице, смело выступать против
beat; |biːt|;бить, биться, отбивать, удар, ритм, биение, бой, такт, усталый, измотавшийся
beautiful; |ˈbjuːtɪfl|;красивый, прекрасный, превосходный, прекрасное, красотка, красивые люди
beauty; |ˈbjuːti|;красота, красавица, прелесть, краса
because; |bɪˈkɔːz|;потому что, так как, ибо
become;  |bɪˈkʌm|; становиться, делаться, случаться, годиться, приличествовать, быть к лицу
bed; |ˌbiː ˈed|;спать, ложиться в постель, кровать, постель, слой, ложе, постельный
bedroom; |ˈbedruːm|;спальня
beef; |biːf|;говядина, мясной скот, туша, говяжий, жаловаться
beer; |bɪr|;пиво, ход основы
before; |bɪˈfɔːr|;перед, до, выше, впереди, до, прежде чем, прежде чем, раньше, выше
beforehand; |bɪˈfɔːrhænd|;заранее, заблаговременно, наперед, вперед, заблаговременный
begin; |bɪˈɡɪn|;начинать, начинаться, завязать, наставать
beginning; |bɪˈɡɪnɪŋ|;начало, возникновение, истоки, начинающий
behalf; |bɪˈhæf|;помощь, защита
behave; |bɪˈheɪv|;вести себя, поступать, работать
behaviour; |bɪˈheɪvjər|;поведение, режим, поступки, манеры
behind;  |bɪˈhaɪnd|; позади, сзади, после, позади, сзади, после, вслед, зад
being; |ˈbiːɪŋ|;быть, находиться, составлять, происходить, существовать, равняться, стоить, бывать
